Date,Release_Year,User_Review,Name,Price_Sold,Place_Sold
6/2/2025,2018,5/5 Masterpiece!,Dark Souls (made by FromSoftware),53.34,Europe
18/2/2025,2018,"3/5 Overhyped, but still fun.",Halo Infinite (made by 343 Industries),37.96,Japan
19/2/2025,2021,5/5 Masterpiece!,Minecraft (made by Mojang Studios),29.28,United Kingdom
3/2/2025,2010,5/5 It's the game of the year!,Valorant (made by Riot Games),27.35,Japan
12/2/2025,2015,1/5 Multiplayer could be better.,Doom Eternal (made by id Software),67.03,Japan
7/2/2025,2016,4/5 The story was incredible!,Doom Eternal (made by id Software),56.99,USA
15/2/2025,2011,Too many bugs at launch.,Super Mario Odyssey (made by Nintendo),53.14,USA
14/2/2025,2014,"3/5 Overhyped, but still fun.",Apex Legends (made by Respawn Entertainment),36.54,USA
5/2/2025,2022,3/5 Graphics are decent,Cyberpunk (made by CD Projekt Red),66.09,Europe
3/2/2025,2014,3/5 The story was incredible!,League of Legends (made by Riot Games),18.44,Japan
2/2/2025,2022,5/5 It's the game of the year!,Resident Evil (made by Capcom),68.62,Europe
24/2/2025,2021,"3/5 Amazing game, but a bit short.",Overwatch (made by Blizzard Entertainment),65.43,Japan
10/2/2025,2012,"3/5 Amazing game, but a bit short.",Apex Legends (made by Respawn Entertainment),54.74,Europe
4/2/2025,2022,4/5 The story was incredible!,Elden Ring (made by FromSoftware),25.44,USA
17/2/2025,2013,Multiplayer could be better.,Halo Infinite (made by 343 Industries),66.85,USA
22/2/2025,2016,4/5 The story was incredible!,Halo Infinite (made by 343 Industries),54.47,United Kingdom
18/2/2025,2020,1/5 Multiplayer could be better.,GTA V (made by Rockstar Games),62.67,Europe
17/2/2025,2020,5/5 It's the game of the year!,Halo Infinite (made by 343 Industries),38.5,Japan
26/2/2025,2020,"3/5 Amazing game, but a bit short.",Horizon Zero Dawn (made by Guerrilla Games),17.84,Japan
22/2/2025,2021,Too many bugs at launch.,Overwatch (made by Blizzard Entertainment),44.60,United Kingdom
5/2/2025,2010,"5/5 Solid mechanics, weak plot.",Valorant (made by Riot Games),53.46,Japan
9/2/2025,2014,5/5 It's the game of the year!,Red Dead Redemption (made by Rockstar Games),57.25,Europe
18/2/2025,2025,"3/5 Amazing game, but a bit short.",Doom Eternal (made by id Software),55.32,United Kingdom
1/2/2025,2018,3/5 Graphics are decent,Overwatch (made by Blizzard Entertainment),45.53,Europe
9/2/2025,2021,5/5 It's the game of the year!,Dark Souls (made by FromSoftware),22.48,USA
21/2/2025,2013,4/5 Multiplayer could be better.,God of War (made by Santa Monica Studio),39.11,United Kingdom
13/2/2025,2010,Multiplayer could be better.,Super Mario Odyssey (made by Nintendo),22.32,United Kingdom
12/2/2025,2018,3/5 Graphics are decent,Sekiro Shadows Die Twice (made by FromSoftware),19.85,Japan
17/2/2025,2022,3/5 Multiplayer could be better.,God of War (made by Santa Monica Studio),36.02,United Kingdom
2/2/2025,2025,"1/5 Amazing game, but a bit short.",Apex Legends (made by Respawn Entertainment),20.98,Japan
27/2/2025,2024,3/5 The story was incredible!,Sekiro Shadows Die Twice (made by FromSoftware),26.87,USA
20/2/2025,2019,Multiplayer could be better.,Doom Eternal (made by id Software),26.14,Europe
21/2/2025,2014,5/5 Masterpiece!,League of Legends (made by Riot Games),67.43,Japan
23/2/2025,2011,"2/5 Overhyped, but still fun.",Super Mario Odyssey (made by Nintendo),43.82,Japan
16/2/2025,2025,"3/5 Overhyped, but still fun.",Fortnite (made by Epic Games),51.21,Europe
22/2/2025,2012,"4/5 Amazing game, but a bit short.",Fortnite (made by Epic Games),11.80,Japan
14/2/2025,2019,"3/5 Amazing game, but a bit short.",Doom Eternal (made by id Software),24.59,Japan
25/2/2025,2014,1/5 Graphics are next-level!,Zelda Breath of the Wild (made by Nintendo),36.78,USA
25/2/2025,2022,"3/5 Overhyped, but still fun.",Apex Legends (made by Respawn Entertainment),51.10,USA
27/2/2025,2021,5/5 It's the game of the year!,GTA V (made by Rockstar Games),20.89,Europe
12/2/2025,2020,"2/5 Amazing game, but a bit short.",Apex Legends (made by Respawn Entertainment),40.49,United Kingdom
15/2/2025,2016,5/5 Masterpiece!,Sekiro Shadows Die Twice (made by FromSoftware),59.53,Europe
5/2/2025,2025,"3/5 Overhyped, but still fun.",Red Dead Redemption (made by Rockstar Games),67.57,United Kingdom
26/2/2025,2022,3/5 Graphics are decent,GTA V (made by Rockstar Games),48.95,Japan
16/2/2025,2015,"2/5 Solid mechanics, weak plot.",God of War (made by Santa Monica Studio),21.80,USA
11/2/2025,2014,4/5 Best game of the year!,Horizon Zero Dawn (made by Guerrilla Games),12.98,Europe
12/2/2025,2012,"3/5 Overhyped, but still fun.",Cyberpunk (made by CD Projekt Red),57.97,Japan
9/2/2025,2010,5/5 Best game of the year!,Red Dead Redemption (made by Rockstar Games),12.49,Japan
24/2/2025,2025,Multiplayer could be better.,Cyberpunk (made by CD Projekt Red),52.99,United Kingdom
4/2/2025,2014,5/5 Masterpiece!,Red Dead Redemption (made by Rockstar Games),49.82,United Kingdom
2/2/2025,2018,3/5 Graphics are decent,Valorant (made by Riot Games),10.18,Europe
5/2/2025,2025,"2/5 Overhyped, but still fun.",Minecraft (made by Mojang Studios),29.53,USA
24/2/2025,2018,"2/5 Overhyped, but still fun.",Zelda Breath of the Wild (made by Nintendo),26.96,Japan
4/2/2025,2022,5/5 It's the game of the year!,Resident Evil (made by Capcom),55.46,Japan
19/2/2025,2010,"3/5 Amazing game, but a bit short.",Sekiro Shadows Die Twice (made by FromSoftware),61.07,United Kingdom
16/2/2025,2019,4/5 The story was incredible!,Dark Souls (made by FromSoftware),12.66,USA
10/2/2025,2011,"2/5 Solid mechanics, weak plot.",Dark Souls (made by FromSoftware),61.60,Europe
6/2/2025,2013,5/5 It's the game of the year!,Zelda Breath of the Wild (made by Nintendo),11.34,United Kingdom
2/2/2025,2020,"3/5 Amazing game, but a bit short.",Overwatch (made by Blizzard Entertainment),38.60,Japan
28/2/2025,2020,2/5 Best game of the year!,Apex Legends (made by Respawn Entertainment),44.59,USA
21/2/2025,2013,4/5 The story was incredible!,Zelda Breath of the Wild (made by Nintendo),51.39,Europe
1/2/2025,2016,Multiplayer could be better.,GTA V (made by Rockstar Games),56.43,USA
26/2/2025,2025,2/5 Multiplayer could be better.,Overwatch (made by Blizzard Entertainment),11.49,Japan
27/2/2025,2020,5/5 Too many bugs at launch.,Super Mario Odyssey (made by Nintendo),37.75,United Kingdom
28/2/2025,2018,"1/5 Overhyped, but still fun.",Doom Eternal (made by id Software),52.78,United Kingdom
12/2/2025,2025,Multiplayer could be better.,Sekiro Shadows Die Twice (made by FromSoftware),33.40,USA
22/2/2025,2022,4/5 The story was incredible!,League of Legends (made by Riot Games),23,Japan
14/2/2025,2016,"3/5 Amazing game, but a bit short.",Resident Evil (made by Capcom),23.07,United Kingdom
9/2/2025,2010,3/5 Too many bugs at launch.,League of Legends (made by Riot Games),21.21,Europe
18/2/2025,2010,"3/5 Overhyped, but still fun.",Sekiro Shadows Die Twice (made by FromSoftware),11.05,USA
7/2/2025,2022,Multiplayer could be better.,Fortnite (made by Epic Games),40.61,USA
18/2/2025,2023,Multiplayer could be better.,Halo Infinite (made by 343 Industries),16.98,Japan
20/2/2025,2021,5/5 It's the game of the year!,Halo Infinite (made by 343 Industries),58.03,USA
25/2/2025,2014,5/5 Masterpiece!,Red Dead Redemption (made by Rockstar Games),36.57,Japan
18/2/2025,2016,"5/5 Solid mechanics, weak plot.",Cyberpunk (made by CD Projekt Red),40.52,Europe
4/2/2025,2012,5/5 Masterpiece!,Super Mario Odyssey (made by Nintendo),26.69,United Kingdom
17/2/2025,2015,4/5 Best game of the year!,Zelda Breath of the Wild (made by Nintendo),44.09,Europe
4/2/2025,2012,4/5 The story was incredible!,Horizon Zero Dawn (made by Guerrilla Games),59.39,United Kingdom
22/2/2025,2021,2/5 Graphics are next-level!,Halo Infinite (made by 343 Industries),15.10,USA
15/2/2025,2018,"2/5 Solid mechanics, weak plot.",Cyberpunk (made by CD Projekt Red),28.69,United Kingdom
26/2/2025,2017,"3/5 Overhyped, but still fun.",Sekiro Shadows Die Twice (made by FromSoftware),18.34,Europe
21/2/2025,2022,3/5 Multiplayer could be better.,Red Dead Redemption (made by Rockstar Games),63.93,United Kingdom
20/2/2025,2019,"3/5 Amazing game, but a bit short.",Valorant (made by Riot Games),46.67,USA
1/2/2025,2024,5/5 Masterpiece!,Elden Ring (made by FromSoftware),42.43,Europe
10/2/2025,2025,Multiplayer could be better.,Valorant (made by Riot Games),60.24,United Kingdom
26/2/2025,2021,2/5 Too many bugs at launch.,Zelda Breath of the Wild (made by Nintendo),13.77,Europe
23/2/2025,2023,2/5 Multiplayer could be better.,Sekiro Shadows Die Twice (made by FromSoftware),47.38,USA
16/2/2025,2024,4/5 Too many bugs at launch.,Super Mario Odyssey (made by Nintendo),25.37,USA
12/2/2025,2017,2/5 Too many bugs at launch.,League of Legends (made by Riot Games),44.64,Japan
22/2/2025,2022,4/5 The story was incredible!,Cyberpunk (made by CD Projekt Red),29.62,United Kingdom
13/2/2025,2020,4/5 Multiplayer could be better.,Valorant (made by Riot Games),59.75,USA
12/2/2025,2023,4/5 The story was incredible!,Super Mario Odyssey (made by Nintendo),30.53,United Kingdom
5/2/2025,2012,4/5 Multiplayer could be better.,Fortnite (made by Epic Games),36.84,Japan
21/2/2025,2016,"2/5 Solid mechanics, weak plot.",Apex Legends (made by Respawn Entertainment),54.49,United Kingdom
25/2/2025,2023,"2/5 Solid mechanics, weak plot.",Fortnite (made by Epic Games),52.90,United Kingdom
14/2/2025,2017,"5/5 Amazing game, but a bit short.",Super Mario Odyssey (made by Nintendo),23.64,Europe
10/2/2025,2020,"3/5 Overhyped, but still fun.",Overwatch (made by Blizzard Entertainment),59.71,USA
15/2/2025,2017,"2/5 Solid mechanics, weak plot.",God of War (made by Santa Monica Studio),15.31,USA
10/2/2025,2023,5/5 Masterpiece!,God of War (made by Santa Monica Studio),47.00,USA
5/2/2025,2017,"4/5 Amazing game, but a bit short.",Sekiro Shadows Die Twice (made by FromSoftware),27.66,Europe
14/2/2025,2014,1/5 Best game of the year!,League of Legends (made by Riot Games),22.39,Japan
22/2/2025,2023,Too many bugs at launch.,Elden Ring (made by FromSoftware),10.27,USA
16/2/2025,2022,2/5 The story was incredible!,Cyberpunk (made by CD Projekt Red),59.95,United Kingdom
16/2/2025,2012,3/5 Graphics are decent,GTA V (made by Rockstar Games),65.5,USA
8/2/2025,2022,Multiplayer could be better.,Halo Infinite (made by 343 Industries),59.03,Japan
23/2/2025,2023,"3/5 Overhyped, but still fun.",Valorant (made by Riot Games),23.85,United Kingdom
1/2/2025,2022,Multiplayer could be better.,Fortnite (made by Epic Games),32.85,Japan
27/2/2025,2011,4/5 The story was incredible!,League of Legends (made by Riot Games),66.18,Japan
9/2/2025,2019,2/5 The story was incredible!,Sekiro Shadows Die Twice (made by FromSoftware),46.18,Japan
13/2/2025,2022,1/5 The story was incredible!,Sekiro Shadows Die Twice (made by FromSoftware),14.68,USA
2/2/2025,2013,5/5 Masterpiece!,Super Mario Odyssey (made by Nintendo),53.78,USA
13/2/2025,2025,4/5 Graphics are next-level!,Red Dead Redemption (made by Rockstar Games),27.5,United Kingdom
21/2/2025,2024,Multiplayer could be better.,Resident Evil (made by Capcom),64.75,Japan
28/2/2025,2019,"2/5 Solid mechanics, weak plot.",Elden Ring (made by FromSoftware),50.14,United Kingdom
6/2/2025,2014,Multiplayer could be better.,League of Legends (made by Riot Games),34.03,United Kingdom
1/2/2025,2017,"3/5 Overhyped, but still fun.",Zelda Breath of the Wild (made by Nintendo),69.43,Japan
15/2/2025,2018,4/5 Multiplayer could be better.,Horizon Zero Dawn (made by Guerrilla Games),27.77,USA
23/2/2025,2025,"3/5 Amazing game, but a bit short.",Zelda Breath of the Wild (made by Nintendo),42.34,Japan
27/2/2025,2012,"3/5 Overhyped, but still fun.",Dark Souls (made by FromSoftware),36.63,Europe
19/2/2025,2012,2/5 The story was incredible!,Elden Ring (made by FromSoftware),34.03,United Kingdom
1/2/2025,2015,"3/5 Amazing game, but a bit short.",Overwatch (made by Blizzard Entertainment),43.13,USA
28/2/2025,2015,4/5 The story was incredible!,Cyberpunk (made by CD Projekt Red),31.82,Europe
3/2/2025,2019,Multiplayer could be better.,Dark Souls (made by FromSoftware),48.15,USA
9/2/2025,2025,3/5 Graphics are decent,Overwatch (made by Blizzard Entertainment),39,Europe
9/2/2025,2021,"3/5 Amazing game, but a bit short.",League of Legends (made by Riot Games),49.72,Europe
4/2/2025,2019,"5/5 Amazing game, but a bit short.",Cyberpunk (made by CD Projekt Red),17.02,United Kingdom
11/2/2025,2023,Too many bugs at launch.,Overwatch (made by Blizzard Entertainment),26.30,Europe
14/2/2025,2013,5/5 Masterpiece!,League of Legends (made by Riot Games),19.53,Japan
25/2/2025,2018,1/5 Too many bugs at launch.,Halo Infinite (made by 343 Industries),28.09,Europe
18/2/2025,2015,"2/5 Solid mechanics, weak plot.",Cyberpunk (made by CD Projekt Red),66.43,United Kingdom
4/2/2025,2011,1/5 Too many bugs at launch.,Red Dead Redemption (made by Rockstar Games),62.02,USA
5/2/2025,2019,5/5 It's the game of the year!,League of Legends (made by Riot Games),47.96,United Kingdom
11/2/2025,2016,5/5 Masterpiece!,League of Legends (made by Riot Games),60.82,Europe
27/2/2025,2016,3/5 Best game of the year!,Zelda Breath of the Wild (made by Nintendo),30.96,Japan
17/2/2025,2012,1/5 Too many bugs at launch.,Minecraft (made by Mojang Studios),20.30,USA
11/2/2025,2013,4/5 The story was incredible!,Valorant (made by Riot Games),28.53,Japan
21/2/2025,2025,"4/5 Overhyped, but still fun.",Doom Eternal (made by id Software),42.67,Europe
12/2/2025,2011,"4/5 Amazing game, but a bit short.",Sekiro Shadows Die Twice (made by FromSoftware),26.16,USA
18/2/2025,2010,5/5 It's the game of the year!,Red Dead Redemption (made by Rockstar Games),48.53,United Kingdom
25/2/2025,2023,4/5 The story was incredible!,Elden Ring (made by FromSoftware),63.22,USA
6/2/2025,2025,5/5 Masterpiece!,Doom Eternal (made by id Software),61.89,USA
6/2/2025,2022,"3/5 Overhyped, but still fun.",Zelda Breath of the Wild (made by Nintendo),29.52,United Kingdom
15/2/2025,2019,Multiplayer could be better.,Sekiro Shadows Die Twice (made by FromSoftware),17.09,United Kingdom
4/2/2025,2012,Too many bugs at launch.,League of Legends (made by Riot Games),62.97,Europe
16/2/2025,2010,4/5 The story was incredible!,Overwatch (made by Blizzard Entertainment),68.90,USA
28/2/2025,2025,5/5 It's the game of the year!,Minecraft (made by Mojang Studios),63.25,Europe
3/2/2025,2011,"3/5 Amazing game, but a bit short.",GTA V (made by Rockstar Games),42.18,Europe
15/2/2025,2019,"2/5 Solid mechanics, weak plot.",Minecraft (made by Mojang Studios),21.07,USA
28/2/2025,2020,5/5 Masterpiece!,Overwatch (made by Blizzard Entertainment),69.43,USA
21/2/2025,2024,Too many bugs at launch.,Minecraft (made by Mojang Studios),63.52,USA
17/2/2025,2012,3/5 Graphics are decent,Fortnite (made by Epic Games),56.92,United Kingdom
5/2/2025,2024,4/5 The story was incredible!,Zelda Breath of the Wild (made by Nintendo),35.10,Japan
19/2/2025,2025,Too many bugs at launch.,Apex Legends (made by Respawn Entertainment),29.19,Japan
2/2/2025,2022,1/5 The story was incredible!,Halo Infinite (made by 343 Industries),11.31,Japan
3/2/2025,2020,2/5 Graphics are next-level!,Overwatch (made by Blizzard Entertainment),33.25,USA
27/2/2025,2011,4/5 The story was incredible!,Resident Evil (made by Capcom),51.04,United Kingdom
18/2/2025,2016,5/5 Masterpiece!,League of Legends (made by Riot Games),12.34,USA
11/2/2025,2023,3/5 A masterpiece!,Doom Eternal (made by id Software),37.11,Japan
7/2/2025,2024,Multiplayer could be better.,GTA V (made by Rockstar Games),24.03,Europe
17/2/2025,2019,4/5 The story was incredible!,Overwatch (made by Blizzard Entertainment),22.60,Europe
4/2/2025,2018,"5/5 Amazing game, but a bit short.",Resident Evil (made by Capcom),23.28,United Kingdom
16/2/2025,2019,"5/5 Amazing game, but a bit short.",Super Mario Odyssey (made by Nintendo),40.43,Europe
23/2/2025,2023,5/5 It's the game of the year!,Valorant (made by Riot Games),39.03,United Kingdom
2/2/2025,2013,"5/5 Overhyped, but still fun.",Doom Eternal (made by id Software),43.36,United Kingdom
17/2/2025,2015,3/5 Graphics are next-level!,God of War (made by Santa Monica Studio),29.80,United Kingdom
20/2/2025,2010,"2/5 Solid mechanics, weak plot.",Dark Souls (made by FromSoftware),16.85,Japan
5/2/2025,2024,"2/5 Solid mechanics, weak plot.",League of Legends (made by Riot Games),45.45,United Kingdom
8/2/2025,2024,"3/5 Overhyped, but still fun.",Valorant (made by Riot Games),35.52,Japan
13/2/2025,2024,5/5 Best game of the year!,Sekiro Shadows Die Twice (made by FromSoftware),43.17,USA
19/2/2025,2016,5/5 It's the game of the year!,Fortnite (made by Epic Games),66.29,United Kingdom
11/2/2025,2019,1/5 Best game of the year!,Zelda Breath of the Wild (made by Nintendo),23.68,Europe
28/2/2025,2022,Too many bugs at launch.,Zelda Breath of the Wild (made by Nintendo),67.57,Europe
8/2/2025,2012,5/5 Masterpiece!,Zelda Breath of the Wild (made by Nintendo),65.18,United Kingdom
23/2/2025,2025,"3/5 Amazing game, but a bit short.",Elden Ring (made by FromSoftware),50.00,United Kingdom
4/2/2025,2013,Multiplayer could be better.,Doom Eternal (made by id Software),21.62,United Kingdom
7/2/2025,2023,Multiplayer could be better.,Dark Souls (made by FromSoftware),43.46,United Kingdom
15/2/2025,2011,3/5 Best game of the year!,Apex Legends (made by Respawn Entertainment),15.17,USA
21/2/2025,2014,3/5 Best game of the year!,Red Dead Redemption (made by Rockstar Games),49.93,United Kingdom
11/2/2025,2022,4/5 The story was incredible!,Red Dead Redemption (made by Rockstar Games),63.70,United Kingdom
2/2/2025,2018,"2/5 Solid mechanics, weak plot.",Super Mario Odyssey (made by Nintendo),35.00,Europe
20/2/2025,2017,3/5 Best game of the year!,God of War (made by Santa Monica Studio),34.96,Japan
17/2/2025,2011,"4/5 Overhyped, but still fun.",Elden Ring (made by FromSoftware),46.18,USA
23/2/2025,2013,4/5 The story was incredible!,Zelda Breath of the Wild (made by Nintendo),30.51,United Kingdom
11/2/2025,2020,"3/5 Overhyped, but still fun.",Valorant (made by Riot Games),67.73,United Kingdom
2/2/2025,2012,"3/5 Amazing game, but a bit short.",Elden Ring (made by FromSoftware),68.48,Europe
11/2/2025,2013,4/5 The story was incredible!,Super Mario Odyssey (made by Nintendo),51.82,United Kingdom
4/2/2025,2013,4/5 The story was incredible!,Elden Ring (made by FromSoftware),32.56,Europe
9/2/2025,2020,"3/5 Amazing game, but a bit short.",League of Legends (made by Riot Games),69.84,USA
14/2/2025,2024,5/5 Masterpiece!,Red Dead Redemption (made by Rockstar Games),31.66,Europe
4/2/2025,2021,3/5 Graphics are decent,Horizon Zero Dawn (made by Guerrilla Games),32.17,Europe
11/2/2025,2013,"3/5 Overhyped, but still fun.",Doom Eternal (made by id Software),28.77,Europe
18/2/2025,2019,5/5 A masterpiece!,Dark Souls (made by FromSoftware),56.39,Japan
26/2/2025,2016,2/5 A masterpiece!,Minecraft (made by Mojang Studios),53.07,Europe
2/2/2025,2023,"3/5 Overhyped, but still fun.",Resident Evil (made by Capcom),45.13,United Kingdom
6/2/2025,2014,"3/5 Amazing game, but a bit short.",Sekiro Shadows Die Twice (made by FromSoftware),46.57,USA
23/2/2025,2021,Multiplayer could be better.,Dark Souls (made by FromSoftware),23.03,Japan
5/2/2025,2016,2/5 Too many bugs at launch.,Super Mario Odyssey (made by Nintendo),37.39,Europe
5/2/2025,2021,5/5 Too many bugs at launch.,Minecraft (made by Mojang Studios),19.85,USA
3/2/2025,2014,Too many bugs at launch.,Dark Souls (made by FromSoftware),66.60,United Kingdom
11/2/2025,2018,"3/5 Amazing game, but a bit short.",Super Mario Odyssey (made by Nintendo),37.13,Europe
23/2/2025,2011,"3/5 Overhyped, but still fun.",Super Mario Odyssey (made by Nintendo),53.25,Europe
1/2/2025,2020,4/5 The story was incredible!,Super Mario Odyssey (made by Nintendo),24.67,United Kingdom
9/2/2025,2025,Too many bugs at launch.,Minecraft (made by Mojang Studios),23.07,United Kingdom
13/2/2025,2011,5/5 Masterpiece!,Red Dead Redemption (made by Rockstar Games),32.53,USA
17/2/2025,2013,5/5 It's the game of the year!,Overwatch (made by Blizzard Entertainment),45.21,Japan
5/2/2025,2013,"3/5 Amazing game, but a bit short.",Sekiro Shadows Die Twice (made by FromSoftware),54.14,USA
